playlist,name,artist,album
R&B and Soul,Higher Ground,Stevie Wonder,The Definitive Collection [Disc 1]
R&B and Soul,Do I Do,Stevie Wonder,The Definitive Collection [Disc 1]
R&B and Soul,Uptight (Everything's Alright),Stevie Wonder,The Definitive Collection [Disc 2]
R&B and Soul,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,The Definitive Collection [Disc 2]
R&B and Soul,Fingertips (Parts 1 & 2),Stevie Wonder,The Definitive Collection [Disc 2]
R&B and Soul,Save Me,The Isley Brothers,It's Our Thing
R&B and Soul,It's Your Thing,The Isley Brothers,It's Our Thing
R&B and Soul,That Lady (Part 1 & 2),The Isley Brothers,3+3
R&B and Soul,Summer Breeze,The Isley Brothers,3+3
R&B and Soul,Ain't I Been Good to You (Part 1 & 2),The Isley Brothers,Live It Up
R&B and Soul,Half the City,St. Paul & The Broken Bones,Half the City
R&B and Soul,Lowrider,War,Why Can't We Be Friends
R&B and Soul,Le Freak,Chic,Atlantic Groove Masters II
R&B and Soul,Guess Who,Alabama Shakes,Sound And Color
R&B and Soul,Hold On,Alabama Shakes,Boys & Girls [Japan Edition]
R&B and Soul,Celebrate,Anderson .Paak,Malibu
R&B and Soul,Something's Got a Hold On Me,Etta James,The Chess Box Set  (CD1)
R&B and Soul,Through the Fire,Chaka Khan,I Feel For You
R&B and Soul,Me and Your Mama,Childish Gambino,"""Awaken, My Love!"""
"Reggae, Dub, and Dancehall",We Never Fear Dem,Vybz Kartel Feat. Popcaan,Grand Theft Auto V - The Blue Ark
"Reggae, Dub, and Dancehall",Money In My Pocket,Dennis Brown,Grand Theft Auto V - The Blue Ark
"Reggae, Dub, and Dancehall",Crazy Girl,Half Pint,Grand Theft Auto V - The Blue Ark
"Reggae, Dub, and Dancehall",Kingston Be Wise,Protoje,Grand Theft Auto V - The Blue Ark
Rock,Better Days,Bruce Springsteen,Lucky Town
Rock,Because The Night,Bruce Springsteen,The Promise [CD1]
Rock,Badlands,Bruce Springsteen,Darkness on the Edge of Town
Rock,Into The Fire,Bruce Springsteen,The Rising
Rock,Stolen Car,Bruce Springsteen,The Ties That Bind
Shoegaze,Ballad Of Sister Sue,Slowdive,Just For A Day
Shoegaze,Transport Is Arranged,Pavement,Brighten the Corners: Nicene Creedence Edition [Disc 1]
Shoegaze,Kaleidoscope,Ride,Nowhere
Slow Indie,Epilepsy Is Dancing,Antony and The Johnsons,Cut the World
Slow Indie,Another World,Antony and The Johnsons,Cut the World
Slow Indie,Fistful of Love,Antony and The Johnsons,I Am a Bird Now
Slow Indie,Bird Gerhl,Antony and The Johnsons,I Am a Bird Now
Slow Indie,Thank You For Your Love,Antony and The Johnsons,Swanlights
Slow Indie,Fish & Bird,Tom Waits,Alice
Slow Indie,Beard Of Bees,Clem Snide,Hungry Bird
Slow Indie,Gigantic,Eddi Front,Late Night Tales (Mixed)
Slow Indie,Goodnight Lover,Songs: Ohia,Axxess & Ace
Slow Indie,I Could Be Nothing,Great Lake Swimmers,Bodies and Minds
Slow Indie,Carissa,Sun Kil Moon,Benji
Slow Indie,I Can't Live Without My Mother's Love,Sun Kil Moon,Benji
Slow Indie,A Fever,Owen,L'ami du peuple
Slow Indie,Song For Five and Six,Owen Pallett,In Conflict
Slow Indie,Longpig,Perfume Genius,Too Bright 
Slow Indie,All Along ,Perfume Genius,Too Bright 
Slow Indie,Tropic Of Cancer,Panda Bear,Panda Bear Meets The Grim Reaper
Top 40,Where Are Ü Now (feat. Skrillex & Diplo),Justin Bieber,Purpose (Deluxe Edition)
Top 40,Uptown Funk (feat. Bruno Mars) - Mark Ronson - Uptown Funk,Uptown Funk (feat. Bruno Mars) - Mark Ronson,Uptown Special
Top 40,Hey Ya!,OutKast,The Love Below
Top 40,Jealous (I Ain't With It),Chromeo,White Women
Top 40,Latch (feat. Sam Smith),Disclosure,Latch (feat. Sam Smith) - Single
Top 40,Get Lucky (feat. Pharrell Williams),Daft Punk,Random Access Memories
Top 40,Cheerleader (Felix Jaehn Remix Radio Edit),Omi,Cheerleader (Felix Jaehn Remix Radio Edit) - Single
Top 40,Lean On (feat. MØ & DJ Snake),Major Lazer,Peace Is the Mission
Trip-hop,Glory Box,Portishead,Dummy
Trip-hop,Deep Water,Portishead,Third
Trip-hop,Machine Gun,Portishead,Third
Trip-hop,Magic Doors,Portishead,Third
Dig it like nobody's watching,Rapp Snitch Knishes feat. Mr. Fantastik,MF Doom,MM...FOOD
Dig it like nobody's watching,Impending Doom,Daedelus,Exquisite Corpse
Dig it like nobody's watching,Accordian,Madvillain,Madvillainy
Dig it like nobody's watching,Just Say No To Drugs,Count Bass D,Dwight Spitz
Dig it like nobody's watching,Seven Years (Feat. Dionne Farris),Count Bass D,Dwight Spitz
Dig it like nobody's watching,All Things To All Men,Cinematic Orchestra,Gilles Peterson: Worldwide - A Celebration of his Syndicated Radio Show
Dig it like nobody's watching,Next Levels,King Geedorah,Take Me To Your Leader
Dig it like nobody's watching,20 Questions,Lootpack,Soundpieces: Da Antidote
Dig it like nobody's watching,After Hours,A Tribe Called Quest,Peoples' Instinctive Travels & the Paths of Rhythm
Dig it like nobody's watching,Get By,Talib Kweli,Quality
Dig it like nobody's watching,Gettin Up,Q-Tip,The Renaissance
Dig it like nobody's watching,Hott People,Quannum Projects,Quannum Spectrum
Dig it like nobody's watching,Closer,Quasimoto,The Further Adventures Of Lord Quas
Dig it like nobody's watching,Won't Do,J Dilla,The Shining
Dig it like nobody's watching,Figaro,Madvillain,Madvillainy
Dig it like nobody's watching,20 Feet Tall (Remix) Ft. Erykah Badu & Rapsody,9th Wonder,The Wonder Years
Dig it like nobody's watching,Hood Pass Intact feat. MC Eiht,Dam Funk,"Hood Pass Intact 12"""
Dig it like nobody's watching,Witness (1 Hope),Roots Manuva,Ninja Tune 17 Tracks
Dig it like nobody's watching,Doomsday feat. Pebbles The Invisible Girl,MF Doom,OPERATION: DOOMSDAY (Complete)
Dig it like nobody's watching,Me,Dudley Perkins,Expressions (2012 A.U.)
Dig it like nobody's watching,I Don't Know - Feat. Jazzy Jeff,Slum Village,Fantastic Vol. 2
Dig it like nobody's watching,Figaro (Madlib's Stones Throw 101 Remix),Madvillain,Stones Throw : 10 Years
Dig it like nobody's watching,Krazy World,King Geedorah,Take Me To Your Leader
Dig it like nobody's watching,Anti-Matter,King Geedorah,Take Me To Your Leader
Dig it like nobody's watching,The Mingus Sextet,Count Bass D,BEGBORROWSTEEL
"DJ Baader-Meinhof Overdrive - The City Rises, The City Fades",Djed,Tortoise,"The City Rises, The City Fades"
"DJ Baader-Meinhof Overdrive - The City Rises, The City Fades",Chinook,Losicl,"The City Rises, The City Fades"
"DJ Baader-Meinhof Overdrive - The City Rises, The City Fades",The Evil That Never Arrived,Stars of the Lid,"The City Rises, The City Fades"
"DJ Baader-Meinhof Overdrive - The City Rises, The City Fades","We Played Some Open Chords And Rejoiced, For The Earth Had Circled The Sun Yet Again",A Winged Victory for the Sullen,"The City Rises, The City Fades"
"DJ Baader-Meinhof Overdrive - The City Rises, The City Fades",Candy Shoppe,Emeralds,"The City Rises, The City Fades"
"DJ Baader-Meinhof Overdrive - The City Rises, The City Fades",Kaini Industries,Boards of Canada,"The City Rises, The City Fades"
"DJ Baader-Meinhof Overdrive - The City Rises, The City Fades",Woobed,Woob,"The City Rises, The City Fades"
"DJ Baader-Meinhof Overdrive - The City Rises, The City Fades",My Body Is A Dying Machine,Final,"The City Rises, The City Fades"
"DJ Baader-Meinhof Overdrive - The City Rises, The City Fades",Alice,Sunn O))),"The City Rises, The City Fades"
DJ Grandpa Gangles,Modern Drift,Efterklang,Magic Chairs
DJ Grandpa Gangles,Never Meant,American Football,American Football
DJ Grandpa Gangles,I Won't Be Found,The Tallest Man On Earth,Shallow Graves
DJ Grandpa Gangles,Alison,Elvis Costello and The Attractions,The Very Best of Elvis Costello and The Attractions
DJ Grandpa Gangles,The Best Ever Death Metal Band In Denton,The Mountain Goats,All Hail West Texas
DJ Grandpa Gangles,While You Were Sleeping,Elvis Perkins,Ash Wednesday
DJ Grandpa Gangles,Hoist That Rag,Tom Waits,Real Gone
DJ Grandpa Gangles,Boogie Chillen',John Lee Hooker,Smithsonian Blues (Disc 3)
DJ Grandpa Gangles,Dear Sons And Daughters Of Hungry Ghosts,Wolf Parade,Apologies To The Queen Mary
DJ Grandpa Gangles,Naked As We Came,Iron & Wine,Our Endless Numbered Days
DJ Grandpa Gangles,Act Appalled,Circa Survive,Juturna
DJ Grandpa Gangles,Fall Creek Boys Choir,James Blake And Bon Iver,Fall Creek Boys Choir
DJ Grandpa Gangles,Baboon,This Town Needs Guns,Animals
DJ Grandpa Gangles,Ex-Creations,The Fall of Troy,Manipulator Disc 1
DJ Grandpa Gangles,San Francisco Knights,People Under The Stairs,The Next Step
DJ Grandpa Gangles,A Little Bit Cooler,The Cool Kids,The Bake Sale
DJ Grandpa Gangles,Best Of Times (feat. Phonte),Strong Arm Steady,In Search Of Stoney Jackson
DJ Grandpa Gangles,Mathematics,Mos Def,Black On Both Sides
DJ Grandpa Gangles,Murder in the City,The Avett Brothers,The Gleam II
DJ Grandpa Gangles,Your Hand In Mine,Explosions In The Sky,The Earth Is Not A Cold Dead Place
DJ It'sForeals,See Line Woman,Nina Simone,Nina Simone
DJ It'sForeals,Bananas,Blue Scholars,Oof! EP
DJ It'sForeals,Full Circle,Khingz,From Slaveships To Spaceships
DJ It'sForeals,Zimbabwe,Bob Marley & The Wailers,Survival
DJ It'sForeals,As We Enter,"Nas & Damian ""Jr. Gong"" Marley",Distant Relatives (Bonus Track Version)
DJ It'sForeals,Ain't Got No - I Got Life,Nina Simone,Remixed and Reimagined
